Sort Date,Highest Profile,Release Date,Title,EleutherAI PoC,Lead Org,Primary Area,Additional Area,Status,Conference or Journal,Archival Date,Workshop,Workshop Date,Superlatives,Link,On website,
"Sep 15, 2020",,"Sep 15, 2020",Current Limitations of Large Language Models: What You Need is Retrieval,Aran Komatsuzaki,Georgia Tech,NLP,NLP,arXiv,,,,,,https://arxiv.org/abs/2009.06857,yes,
"Dec 31, 2020",Yes,"Dec 31, 2020",The Pile: An 800GB Dataset of Diverse Text for Language Modeling,Leo Gao,EleutherAI,NLP,NLP,arXiv,,,,,,https://arxiv.org/abs/2101.00027,yes,
"Jun 11, 2021",,"Mar 23, 2021",Towards a Model-Theoretic View of Narratives,Louis Castricato,Georgia Tech,NLP,NLP,Accepted,NAACL Workshop on Narrative Understanding,"Jun 11, 2021",NAACL Workshop on Narrative Understanding,"Jun 11, 2021",,https://aclanthology.org/2021.nuse-1.10/,yes,
"Sep 2, 2021",,"Sep 2, 2021",An empirical exploration in quality filtering of text data,Leo Gao,EleutherAI,NLP,NLP,arXiv,,,,,,https://arxiv.org/abs/2109.00698,yes,
"Oct 6, 2021",,"Oct 6, 2021",Cut the CARP: Fishing for zero-shot story evaluation,Louis Castricato,EleutherAI,NLP,NLP,arXiv,,,,,,https://arxiv.org/abs/2110.03111,yes,
"Dec 14, 2021",Yes,"Nov 3, 2021",LAION-400M: Open Dataset of CLIP-Filtered 400 Million Image-Text Pairs,Katherine Crowson,LAION,Other Modalities,Other Modalities,Accepted,NeurIPS Workshopn on Data-Centic AI,"Dec 14, 2021",NeurIPS Workshopn on Data-Centic AI,"Dec 14, 2021",,https://arxiv.org/abs/2111.02114,yes,
"Jan 5, 2022",,"Jun 9, 2021",MP-NeRF: A massively parallel method for accelerating protein structure reconstruction from internal coordinates,Stella Biderman,Vir Biotechnology,Other Modalities,Other Modalities,Accepted,Journal of Computational Chemistry,"Jan 5, 2022",,,,https://pubmed.ncbi.nlm.nih.gov/34709663/,yes,
"Jan 31, 2022",,"Mar 22, 2021",Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets,Stella Biderman,Google,NLP,NLP,Accepted,TACL,"Jan 31, 2022",EACL AfricaNLP Workshop,"April 19, 2021",,https://aclanthology.org/2022.tacl-1.4/,yes,
"Apr 25, 2022",Yes,"Oct 15, 2021",Multitask Prompted Training Enables Zero-Shot Task Generalization,Stella Biderman,BigScience,NLP,NLP,Accepted,ICLR,"Apr 25, 2022",,,,https://iclr.cc/virtual/2022/poster/7101,yes,
"May 28, 2022",Yes,"Apr 14, 2022",GPT-NeoX-20B: An Open-Source Autoregressive Language Model,Sid Black,EleutherAI,NLP,NLP,Accepted,ACL Workshop on Challenges & Perspectives in Creating Large Language Models,"May 28, 2022",ACL Workshop on Challenges & Perspectives in Creating Large Language Models,"May 28, 2022",,https://aclanthology.org/2022.bigscience-1.9/,yes,
