Area Key,Broad Areas,Include Terms,Exclude Terms
model_training,Training Models,"model training;pretrain;pre-training;pretrained;training;scale;scaling;gpt;pythia;neox;architecture",
evaluation,Evaluation,"eval;benchmark;bench;test set;leaderboard;measure;metric;assessment",
multilingual,,"multilingual;bilingual;code-mixed;korean;indonesian;script;summarization",
datasets,Data,"dataset;datasets;data;corpus;pile;common pile;roots;filter;filtering;contamination;crawl",
circuits,Model Internals,"circuit;circuits;feature;features;activation;activations;mechanistic;probe;probing;attribution graph",
data_attribution,"Data;Model Internals","attribution;influence",
open_weight_safety,Open-Weight Safety,"open-weight;open weight;safeguard;safeguards;safety;dangerous;tamper;filtering;ignorance;misalignment",
behavioral_safety,Behavioral Safety,"behavior;behaviour;reward;red team;red-team;safety;alignment;misalignment;mode collapse;pragmatic",
other_modalities,Multimodal,,
privacy_and_security,Security,"privacy;security;memorization;memorisation;contamination;red team;red-team;safe harbor",
